judet,tip,url,dns_ok,http_status,final_url,https_ok,is_institutie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
Ilfov,Prefectură,http://if.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Maramureș,Prefectură,http://mm.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Mehedinți,Prefectură,http://mh.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Mureș,Prefectură,http://ms.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Neamț,Prefectură,http://nt.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Olt,Prefectură,http://ot.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Prahova,Prefectură,http://ph.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Sălaj,Prefectură,http://sj.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Satu Mare,Prefectură,http://sm.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Sibiu,Prefectură,http://sb.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Suceava,Prefectură,http://sv.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Teleorman,Prefectură,http://tr.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Timiș,Prefectură,http://tm.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Tulcea,Prefectură,http://tl.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Vâlcea,Prefectură,http://vl.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Vaslui,Prefectură,http://vs.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Vrancea,Prefectură,http://vn.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
