Județ,Localitate,Website,Email,Telefon
ALBA,SASCIORI,http://www.comunasasciori.ro/,primariasasciori@yahoo.com,258741110
ALBA,SCARISOARA,https://scarisoara.ro/primaria/,primar@scarisoara.ro,258778641
ALBA,SIBOT,https://primaria-sibot.ro/,primaria.sibot@yahoo.com,258760101
ALBA,SOHODOL,https://primariasohodol.ro/,primar@primariasohodol.ro,358401598
ALBA,SONA,https://comunasona.ro/,sona@ab.e-adm.ro,258884080
ALBA,SPRING,https://www.comunaspring.ro/,primariaspring@yahoo.com,258765019
ALBA,STREMT,www.primariastremt.ro,primaria_stremt@yahoo.com,258848101
ALBA,SUGAG,https://primariasugag.ro/,sugag@ab.e-adm.ro,258746177
ALBA,UNIREA,https://www.primariaunireaalba.ro/,unirea@ab.e-adm.ro,258876101
ALBA,VADU MOTILOR,https://vadumotilor.ro/,vadumotilor@yahoo.com,258700239
ALBA,VALEA LUNGA,https://comunavalealunga.ro/,valealunga@ab.e-adm.ro,258888102
ALBA,VIDRA,https://primariavidra-ab.ro/,primaria_vidra_ab@yahoo.com,258786575
ALBA,VINTU DE JOS,https://vintudejos.ro/,vintudejos@ab.e-adm.ro,258739234
ARAD,MUNICIPIUL ARAD,www.primariaarad.ro,pma@primariaarad.ro,257281851
ARAD,ORAS CHISINEU-CRIS,https://primariachisineucris.ro/,primariachcris@yahoo.com,257350098
ARAD,ORAS CURTICI,https://primariacurtici.ro/,secretariat@primariacurtici.ro,257464004
ARAD,ORAS INEU,http://primariaineu.ro/,primaria@primariaineu.ro,257511550
ARAD,ORAS LIPOVA,https://www.primarialipova.ro/,contact@primarialipova.ro,257561133
ARAD,ORAS NADLAC,http://primaria-nadlac.ro/,office@primaria-nadlac.ro,257474325
ARAD,ORAS PANCOTA,https://primariapancota.ro/,primariapancota@artelecom.net,257466301
ARAD,ORAS PECICA,https://www.pecica.ro/,primaria@pecica.ro,257468323
ARAD,ORAS SANTANA,https://www.primariasantana.ro/ro/,contact@primariasantana.ro,35710007
ARAD,ORAS SEBIS,http://primariasebis.ro/,primaria@primariasebis.ro,257311008
ARAD,ALMAS,https://comuna-almas.ro/,primariaalmas@yahoo.com,257313308
ARAD,APATEU,http://www.apateu.ro/,primariaapateu@rdslink.ro,257327301
ARAD,ARCHIS,https://archis-arad.ro/,primaria.archis@yahoo.com,257323553
ARAD,BARSA,http://www.comunabirsa.ro/,primariabirsa@yahoo.com,257321101
ARAD,BARZAVA,http://www.comunabarzava.ro/,primariabarzava@gmail.com,257433108
ARAD,BATA,https://www.primariabata.ro/,primariabata.bata@yahoo.ro,257434701
ARAD,BELIU,https://beliu.ro/,primariabeliu@gmail.com,257322239
ARAD,BIRCHIS,N/A,primariabirchis@yahoo.com,257434443
ARAD,BOCSIG,http://www.bocsig.ro/,primariabocsig@yahoo.com,257325100
ARAD,BRAZII,N/A,braziiprimaria@yahoo.com,257317508
ARAD,BUTENI,http://www.buteni.ro/,primariabuteni@yahoo.com,257320129
ARAD,CARAND,http://comuna-carand.ro/,primariacarand@yahoo.com,257321522
ARAD,CERMEI,http://comuna-cermei.ro/,contact@comuna-cermei.ro,257328101
ARAD,CHISINDIA,http://comunachisindia.ro/,primariachisindia@yahoo.com,257314105
ARAD,CONOP,https://www.primariaconop.ro/,primariaconop@yahoo.ro,257433003
ARAD,COVASINT,https://www.primariacovasint.ro/,primariacovasint@gmail.com,257385005
ARAD,CRAIVA,https://primariacraiva.ro/wp/contact/,primariacraiva@gmail.com,257324125
ARAD,DEZNA,http://www.comunadezna.ro/,primariacomuneidezna@gmail.com,257312664
ARAD,DIECI,http://dieci-arad.blogspot.com/,primariadieci@gmail.com,257314408
ARAD,DOROBANTI,https://comuna-dorobanti.ro/ro/bine-ati-venit/,primaria.dorobanti@gmail.com,257535262
ARAD,FANTINELE,https://primariafantanele-arad.ro/,primaria.fantanele@yahoo.com,257456196
ARAD,FELNAC,http://primaria-felnac.ro/,primariafelnac@yahoo.com,257411101
ARAD,FRUMUSENI,https://www.frumuseni.ro/,contact@frumuseni.ro,0257455250
ARAD,GHIOROC,https://www.primariaghioroc.ro/,primariaghioroc@gmail.com,0257461101
ARAD,GRANICERI,http://www.graniceri.ro/,N/A,257353011
ARAD,GURAHONT,https://www.gurahont.ro/,primariagurahont@yahoo.com,257316602
ARAD,HALMAGEL,https://halmagel.ro/,primariahalmagel@artelecom.net,257319621
ARAD,HALMAGIU,https://www.primariahalmagiu.ro/,primariahalmagiu@yahoo.com,0357405092
ARAD,HASMAS,https://comunahasmas.ro/,primariahasmas@gmail.com,257321777
ARAD,IGNESTI,https://primariaignesti.ro/,primaria.ignesti@yahoo.com,257315555
ARAD,IRATOSU,https://iratosu.ro/,primaria_iratosu@yahoo.com,257454101
ARAD,LIVADA,https://livada-arad.ro/,primariacomuneilivada@yahoo.com,257381055
ARAD,MACEA,https://macea.ro/,primaria.macea@gmail.com,257536101
ARAD,MISCA,https://misca.ro/,primaria_misca@yahoo.com,257354140
ARAD,MONEASA,https://primariamoneasa.ro/,primariamoneasa@gmail.com,257313115
ARAD,OLARI,http://www.comunaolari.ro/,primaria_olari@yahoo.com,257377132
ARAD,PAULIS,https://www.paulis.ro/,primariapaulis@gmail.com,257388101
ARAD,PEREGU MARE,http://primariaperegumare.ro/,primariaperegulmare@yahoo.com,N/A
ARAD,PETRIS,www.comunapetris.ro/,contact@comunapetris.ro,257433800
ARAD,PILU,http://www.comunapilu.ro/,primaria@comunapilu.ro,257353818
ARAD,PLESCUTA,http://www.plescuta.ro/,primariaplescuta@yahoo.com,257318093
ARAD,SAGU,https://primariasagu.ro/,contact@primariasagu.ro,257418101
ARAD,SAVARSIN,https://primariasavarsin.ro/,primariasavarsin@yahoo.com,257557270
ARAD,SECUSIGIU,https://www.primariasecusigiuar.ro/,primariasecusigiu@yahoo.com,257411320
ARAD,SEITIN,http://primariaseitin.ro/,primaria.seitin@yahoo.com,257415114
ARAD,SELEUS,https://comuna-seleus.ro/,primseleus@gmail.com,25732910
ARAD,SEMLAC,https://www.semlac.ro/,primaria@semlac.ro,257534102
ARAD,SEPREUS,https://sepreus.ro/,primariasepreus@gmail.com,257356262
ARAD,SICULA,https://sicula.ro/,primariasicula@yahoo.com,257326008
ARAD,SILINDIA,https://www.comunasilindia.ro/,primariasilindia@gmail.com,0257372700
ARAD,SIMAND,https://simand.ro/,info@simand.org,257373118
ARAD,SINTEA MARE,https://sintea-mare.ro/,primaria@sintea-mare.ro,257357101
ARAD,SIRIA,https://primariasiria.ro/,registratura@primariasiria.ro,257531101
ARAD,SISTAROVAT,https://www.primariasistarovat.ro/,primariasistarovat@gmail.com,0371125615
ARAD,SOCODOR,https://socodor.ro/,socodor@gmail.com,257358100
ARAD,SOFRONEA,https://www.primaria-sofronea.ro/,primaria_sofronea@yahoo.com,257416100
ARAD,TARNOVA,N/A,primariatirnova@yahoo.com,257370101
ARAD,TAUT,https://www.primariataut.ro/,primariataut@gmail.com,0257372222
ARAD,USUSAU,http://www.comunaususau.ro/,primariaususau@gmail.com,257434101
ARAD,VARADIA DE MURES,https://varadia-de-mures.ro/,primaria_varadiaar@yahoo.com,257417230
ARAD,VARFURILE,http://www.primariavirfurile.ro/,consvarfurile@gmail.com,257318501
ARAD,VINGA,https://primaria-vinga.ro/,primar@primaria-vinga.ro,257460126
ARAD,VLADIMIRESCU,https://www.primariavladimirescu.ro/,contact@primariavladimirescu.ro,257514101
ARAD,ZABRANI,https://www.primaria-zabrani.ro/,primariazabrani@yahoo.com,257457001
ARAD,ZADARENI,https://primariazadareni.ro/,primariazadareni@yahoo.com,257413024
ARAD,ZARAND,https://primariazarand.ro/,primariazarand@yahoo.ro,257359011
ARAD,ZERIND,https://primariazerind.ro/,primariazerind@yahoo.com,257355566
ARAD,ZIMANDU NOU,https://zimandunou.ro/,primariazimandunou@yahoo.ro,257380141
ARGES,MUNICIPIUL PITESTI,http://www.primariapitesti.ro/,primaria@primariapitesti.ro,248213994
ARGES,MUNICIPIUL CAMPULUNG,http://www.primariacampulung.ro/,campulung@muscel.ro,248511034
ARGES,MUNICIPIUL CURTEA DE ARGES,http://www.primariacurteadearges.ro/portal/arges/cda/portalcda.nsf,secretariat@primariacurteadearges.ro,248721033
ARGES,ORAS COSTESTI,https://primariacostestiag.ro/,primaria@primariacostestiag.ro,248672320
ARGES,ORAS MIOVENI,https://emioveni.ro/,secretariat@emioveni.ro,248455444
ARGES,ORAS STEFANESTI,https://www.stefanesti-arges.ro/,stefanesti@ag.e-adm.ro,248266752
ARGES,ORAS TOPOLOVENI,http://www.topoloveni.ro/,primarie@topoloveni.cjarges.ro,248666259
ARGES,ALBESTII DE ARGES,https://www.albestiidearges.ro/,albestiidearges@ag.e-adm.ro,248735005
ARGES,ALBESTII DE MUSCEL,https://www.cjarges.ro/en/web/albestii-de-muscel,primariaalbesti@yahoo.com,248555300
ARGES,ALBOTA,https://www.cjarges.ro/en/web/albota,primarie@albota.cjarges.ro,248233187
ARGES,ANINOASA,https://comuna-aninoasa.ro/,primarie@aninoasa.cjarges.ro,248577050
ARGES,AREFU,https://primaria-arefu.ro/,primaria.arefu@yahoo.com,248730210
ARGES,BABANA,https://www.primariababana.ro/,primarie@babana.cjarges.ro,248767001
ARGES,BAICULESTI,https://www.cjarges.ro/en/web/baiculesti,primar_baiculesti_dragnea@yahoo.com,248760204
ARGES,BALILESTI,https://www.primariabalilesti.ro/,registratura@primariabalilesti.ro,248562080
ARGES,BARLA,https://www.cjarges.ro/en/web/barla/,primarie@barla.cjarges.ro,248678141
ARGES,BASCOV,http://www.primariabascov.ro/portal/arges/bascov/beta/portal.nsf/Index/$First?OpenDocument,primariabascov@yahoo.com,248270525
ARGES,BELETI-NEGRESTI,https://www.cjarges.ro/en/web/beleti-negresti,primarie@beletinegresti.cjarges.ro,248657225
ARGES,BEREVOESTI,https://primariaberevoesti.weebly.com/,primarie@berevoesti.cjarges.ro,248572030
ARGES,BOGATI,https://comunabogati.ro/,primaria_bogati@yahoo.com,248655003
ARGES,BOTENI,https://comunaboteni.ro/,primariaboteniarges@yahoo.com,248295299
ARGES,BOTESTI,http://www.comunabotestiarges.ro/home/,primarie@botesti.cjarges.ro,248658133
ARGES,BRADU,http://www.comunabradu.ro/,bradu@ag.e-adm.ro,248279412
ARGES,BRADULET,https://www.cjarges.ro/en/web/bradulet/,primarie@bradulet.cjarges.ro,248267910
ARGES,BUDEASA,https://www.comunabudeasa.ro/,primarie@budeasa.cjarges.ro,248236457
ARGES,BUGHEA DE JOS,https://www.primariabugheadejos.ro/,primariabugheadejos@yahoo.com,248536808
ARGES,BUGHEA DE SUS,https://www.cjarges.ro/en/web/bughea-de-sus/,primarie@bugheadesus.cjarges.ro,248555095
ARGES,BUZOESTI,N/A,primariebuzoesti@yahoo.com,248690009
ARGES,CALDARARU,https://www.cjarges.ro/en/web/caldararu,primarie@caldararu.cjarges.ro,248692008
ARGES,CALINESTI,http://www.primariacalinesti.ro/,calinestiarges@gmail.com,248651115
ARGES,CATEASCA,http://primariacateasca.ro/,primarie@cateasca.cjarges.ro,248661006
ARGES,CEPARI,https://primariacepari.ro/acasa,contact@primariacepari.ro,248543043
ARGES,CETATENI,http://www.primariecetateni.ro/index.php,primarie@cetateni.cjarges.ro,248544005
ARGES,CICANESTI,https://www.cjarges.ro/en/web/cicanesti,primarie@cicanesti.cjarges.ro,248735058
ARGES,CIOFRANGENI,https://www.cjarges.ro/en/web/ciofrangeni,primarie@ciofrangeni.cjarges.ro,248747155
ARGES,CIOMAGESTI,http://primaria-ciomagesti.ro/,comuna.ciomagesti@yahoo.com,248245008
ARGES,COCU,https://www.cjarges.ro/en/web/cocu,primaria_cocu@yahoo.com,248246460
ARGES,CORBENI,https://www.cjarges.ro/en/web/corbeni,primarie@corbeni.cjarges.ro,248730236
ARGES,CORBI,http://www.primariacorbi.com/,primariacorbi@yahoo.com,248580005
ARGES,COSESTI,http://comunacosesti.ro/,primarie@comunacosesti.ro,248230099
ARGES,COTMEANA,https://www.cjarges.ro/en/web/cotmeana,primarie@cotmeana.cjarges.ro,248242044
ARGES,CUCA,http://www.comunacuca.ro/,primaria_cuca@yahoo.ro,236331124
ARGES,DAMBOVICIOARA,https://primaria-dambovicioara.ro/,primarie.dambovicioara@cjarges.ro,248544204
ARGES,DARMANESTI,https://www.cjarges.ro/en/web/darmanesti,primarie@darmanesti.cjarges.ro,248232106
ARGES,DAVIDESTI,https://www.cjarges.ro/en/web/davidesti,primaria_davidesti@yahoo.com,248298060
ARGES,DOBRESTI,https://www.cjarges.ro/en/web/dobresti,primaria_dobresti_ag@yahoo.com,248657431
ARGES,DOMNESTI,http://primariadomnestiag.ro/,domnesti@primariadomnestiag.ro,248269942
ARGES,DRAGANU,https://www.cjarges.ro/en/web/draganu,primariadraganu@yahoo.com,248663310
ARGES,DRAGOSLAVELE,https://www.cjarges.ro/en/web/dragoslavele,primaria_dragoslavele@yahoo.com,248544426
ARGES,GODENI,http://www.primariagodeni.ro/,primarie@godeni.cjarges.ro,248544901
ARGES,HARSESTI,https://www.comunaharsesti.ro/,prim_hirsesti@yahoo.com,248677374
ARGES,HARTIESTI,https://www.cjarges.ro/en/web/hartiesti,primarie@hartiesti.cjarges.ro,248297050
ARGES,IZVORU,https://www.cjarges.ro/en/web/izvoru,primaria_izvoru@yahoo.com,248695020
ARGES,LEORDENI,https://www.cjarges.ro/en/web/leordeni,primarieleordeni@yahoo.com,248653101
ARGES,LERESTI,https://www.cjarges.ro/en/web/leresti,primarie@leresti.cjarges.ro,248549201
ARGES,LUNCA CORBULUI,https://www.cjarges.ro/en/web/lunca-corbului,primaria_lunca_corbului@yahoo.com,248688501
ARGES,MALURENI,https://www.cjarges.ro/en/web/malureni,primariamalureni@yahoo.com,248765049
ARGES,MARACINENI,https://www.comunamaracineni.ro/,primarie@maracineni.cjarges.ro,248278893
ARGES,MERISANI,https://www.cjarges.ro/en/web/merisani,N/A,248763201
ARGES,MICESTI,https://www.comunamicesti.ro/,primaria.micesti@yahoo.com,248234002
ARGES,MIHAESTI,https://www.cjarges.ro/en/web/mihaesti,primarie@mihaesti.cjarges.ro,248560005
ARGES,MIOARELE,https://www.mioarele.ro/,primariacomuneimioarele@yahoo.com,248512474
ARGES,MIROSI,https://www.cjarges.ro/en/web/mirosi,primarie@mirosi.cjarges.ro,248694509
ARGES,MORARESTI,http://primariamoraresti.ro/,primaria.moraresti@yahoo.ro,248240011
ARGES,MOSOAIA,https://www.cjarges.ro/en/web/mosoaia,primaria_mosoaia@yahoo.com,24829419
ARGES,MOZACENI,https://www.cjarges.ro/en/web/mozaceni,primariamozaceni@yahoo.com,248697116
ARGES,MUSATESTI,https://primariamusatesti.ro/ro,musatesti_primarie@yahoo.com,248268622
ARGES,NEGRASI,https://www.cjarges.ro/en/web/negrasi,primarie@negrasi.cjarges.ro,248687522
ARGES,NUCSOARA,https://www.cjarges.ro/en/web/nucsoara/acasa,primaria_nucsoara@yahoo.com,248582013
ARGES,OARJA,http://oarjaprimarie.ro/,primarie@oarja.cjarges.ro,248660341
ARGES,PIETROSANI,https://www.primariacomuneipietrosani.ro/,prim1pietr@yahoo.com,248267266
ARGES,POIANA LACULUI,https://www.poianalacului.ro/,secretar@poianalacului.ro,248293046
ARGES,POIENARII DE ARGES,https://www.cjarges.ro/en/web/poienarii-de-arges,primarie@poienariidearges.cjarges.ro,248747140
ARGES,POIENARII DE MUSCEL,http://www.poienariidemuscel.ro/,primarie@poienariidemuscel.cjarges.ro,248546603
ARGES,POPESTI,https://www.cjarges.ro/en/web/popesti,primarie@popesti.cjarges.ro,248693109
ARGES,PRIBOIENI,http://www.priboieni.ro/ag/,primariacomuneipriboieni@yahoo.com,248656001
ARGES,RACA,https://www.cjarges.ro/en/web/raca,primarie@raca.cjarges.ro,248694083
ARGES,RATESTI,https://www.cjarges.ro/en/web/ratesti,primariaratesti@yahoo.com,248664066
ARGES,RECEA,https://www.cjarges.ro/en/web/recea,primaria_recea@yahoo.com,248696143
ARGES,ROCIU,https://www.cjarges.ro/en/web/rociu,primarie@rociu.cjarges.ro,248688115
ARGES,RUCAR,https://www.cjarges.ro/en/web/rucar,primarie@rucar.cjarges.ro,248542830
ARGES,SALATRUCU,https://primariasalatrucu.ro/,primarie@salatrucu.cjarges.ro,248545013
ARGES,SAPATA,https://www.cjarges.ro/en/web/sapata,N/A,248617009
ARGES,SCHITU GOLESTI,http://www.schitugolesti.ro/,primarie@schitugolesti.cjarges.ro,248566500
ARGES,SLOBOZIA,https://www.cjarges.ro/en/web/slobozia,N/A,248698002
ARGES,STALPENI,https://stalpeni.ro/,info@stalpeni.ro,248565537
ARGES,STEFAN CEL MARE,https://www.comunastefancelmare.ro/,prim_stefan@yahoo.com,234339000
ARGES,STOENESTI,https://primariastoenestiag.ro/,primarie@stoenesti.cjarges.ro,248550020
ARGES,STOLNICI,comunastolnici.ro,primariastolnici@yahoo.com,248676201
ARGES,SUICI,https://www.cjarges.ro/en/web/suici,primarie@suici.cjarges.ro,248545003
ARGES,SUSENI,https://primaria-suseni.ro/,primarie@suseni.cjarges.ro,248699397
ARGES,TEIU,https://www.cjarges.ro/en/web/teiu,primarie@teiu.cjarges.ro,248689589
ARGES,TIGVENI,https://www.cjarges.ro/en/web/tigveni,primarie@tigveni.cjarges.ro,248528184
ARGES,TITESTI,https://www.cjarges.ro/en/web/titesti,primaria.titesti@yahoo.com,248299012
ARGES,UDA,http://www.primariauda.ro/,comuna.uda@yahoo.com,248243021
ARGES,UNGHENI,N/A,primarie@ungheni.cjarges.ro,248674063
ARGES,VALEA DANULUI,https://valeadanului.ro/,primarie@valeadanului.cjarges.ro,248724458
ARGES,VALEA IASULUI,https://www.comunavaleaiasului.ro/,primaria_viasului@yahoo.com,248724411
ARGES,VALEA MARE PRAVAT,http://www.valeamarepravat.ro/,primariavaleamarepravat@yahoo.fr,248557112
ARGES,VEDEA,https://www.cjarges.ro/en/web/vedea,cl_vedea@yahoo.com,248248179
ARGES,VLADESTI,https://www.cjarges.ro/en/web/vladesti,primarie@vladesti.cjarges.ro,248547740
ARGES,VULTURESTI,https://www.cjarges.ro/en/web/vulturesti,primariavulturestiag@yahoo.com,248296256
BACAU,MUNICIPIUL BACAU,https://municipiulbacau.ro/,contactprimarie@primariabacau.ro,0234581849; 0234208900
BACAU,MUNICIPIUL MOINESTI,https://moinesti.ro/ro,office@moinesti.ro,234363680
BACAU,MUNICIPIUL ONESTI,http://www.onesti.ro/,primarie@onesti.ro,234324243
BACAU,ORAS BUHUSI,https://www.primariabuhusi.ro/,secretariat@primariabuhusi.ro,234261220
BACAU,ORAS COMANESTI,http://www.primariacomanesti.ro/,contact@primariacomanesti.ro,0234374272; 0234374273; 0234374274; 0234372372
BACAU,ORAS DARMANESTI,https://orasuldarmanesti.ro,primaria@orasuldarmanesti.ro,234356656
BACAU,ORAS SLANIC MOLDOVA,https://primariaslanicmoldova.ro/,primaria@primariaslanicmoldova.ro,0234348119; 0234348186; 0743108499
BACAU,ORAS TARGU OCNA,https://orasul-targuocna.ro/,primaria@orasul-targuocna.ro,0234344114; 0234344116; 0729995923; 0734995904
BACAU,AGAS,http://primaria-agas.ro/,primariaagas@yahoo.com,234382036
BACAU,ARDEOANI,https://comunaardeoani.ro/,contact@comunaardeoani.ro,234354000
BACAU,ASAU,https://comunaasau.ro/ro,primaria@comunaasau.ro,234386338
BACAU,BALCANI,www.primaria-balcani.ro,primariabalcani@yahoo.com,234380701
BACAU,BARSANESTI,https://comunabirsanesti.ro/,contact@comunabirsanesti.ro,234334000
BACAU,BERESTI-BISTRITA,http://primariaberestibistrita.ro/,contact@primariaberestibistrita.ro,234216018
BACAU,BERESTI-TAZLAU,http://www.comunaberestitazlau.ro/,berestitazlau@yahoo.com,234353000
BACAU,BERZUNTI,http://comunaberzunti.ro/,primaria@comunaberzunti.ro,234336000
BACAU,BLAGESTI,https://www.primaria-blagesti.net/,primaria_blagesti@yahoo.com,234268010
BACAU,BOGDANESTI,https://www.primariabogdanestibacau.ro/,primariabogdanesti@gmail.com,234336500
BACAU,BRUSTUROASA,https://www.brusturoasa.ro/,primaria@brusturoasa.ro,234381031
BACAU,BUCIUMI,https://primariabuciumi.ro/,secretariat@primariabuciumi.ro,0234339929; 0234339977
BACAU,BUHOCI,https://comunabuhoci.ro/,contact@comunabuhoci.ro,234224146
BACAU,CAIUTI,http://www.primariacaiuti.ro/,primariacaiuti@yahoo.com,234338401
BACAU,CASIN,https://comunacasin.ro/,primaria@comunacasin.ro,0234331030; 0234331067
BACAU,CLEJA,https://www.primariacleja.ro/,uat@primariacleja.ro,234253012
BACAU,COLONESTI,https://primaria-colonesti.ro/,comunacolonesti@yahoo.com,234287600
BACAU,CORBASCA,https://www.primariacorbasca.ro/,corbascabc@yahoo.com,234283399
BACAU,COTOFANESTI,https://comunacotofanesti.ro/,contact@comunacotofanesti.ro,234330001
BACAU,DAMIENESTI,www.primariadamienesti.judetbacau.ro,damienesti@judetbacau.ro,234222502
BACAU,DEALU MORII,http://www.dealumorii.ro/,primarie@dealumorii.ro,234282602
BACAU,DOFTEANA,https://www.primariadofteana.ro/,office@primariadofteana.ro,234352001
BACAU,FARAOANI,http://www.comunafaraoani.ro/,primaria@comunafaraoani.ro,234254152
BACAU,FILIPENI,https://www.primariafilipeni.ro/,prfilipeni@yahoo.com,234285500
BACAU,FILIPESTI,https://www.primaria-filipesti.ro/,contact@primaria-filipesti.ro,234215800
BACAU,GAICEANA,https://comunagaiceana.ro/,gaiceana@yahoo.com,234283614
BACAU,GARLENI,https://primariagarleni.ro/,contact@primariagarleni.ro,234269263
BACAU,GHIMES-FAGET,http://www.comunaghimes-faget.ro/,primaria_gf@yahoo.com,0234385850; 0234385611
BACAU,GIOSENI,https://comunagioseni.ro/,contact@comunagioseni.ro,234225233
