judet,tip,url,dns_ok,http_status,final_url,https_ok,is_institutie,cms,rss_url,rss_ok,last_signal_date,copyright_year,error
Giurgiu,Consiliu Județean,https://cjgiurgiu.ro,yes,200,https://cjgiurgiu.ro,yes,yes,wordpress,https://cjgiurgiu.ro/feed/,yes,2026-06-29,2021,
Hunedoara,Prefectură,http://hd.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Hunedoara,Consiliu Județean,https://cjhunedoara.ro,yes,200,https://cjhunedoara.ro,yes,yes,joomla,,no,2029-01-01,2011,
Ialomița,Prefectură,http://il.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Iași,Prefectură,http://is.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Ialomița,Consiliu Județean,https://cjialomita.ro,yes,200,https://cjialomita.ro,yes,yes,wordpress,https://cjialomita.ro/feed/,yes,2027-01-01,,
Ilfov,Prefectură,http://if.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Iași,Consiliu Județean,https://www.icc.ro,yes,200,https://www.icc.ro,yes,yes,wordpress,https://www.icc.ro/feed/,yes,2026-01-01,,
Maramureș,Prefectură,http://mm.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Ilfov,Consiliu Județean,https://cjilfov.ro,yes,200,https://cjilfov.ro,yes,yes,wordpress,https://cjilfov.ro/feed/,yes,2027-01-01,2020,
Maramureș,Consiliu Județean,https://cjmaramures.ro,yes,200,https://www.cjmaramures.ro/,yes,yes,joomla,,no,2027-01-01,2018,
Mehedinți,Prefectură,http://mh.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Mureș,Prefectură,http://ms.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Mureș,Consiliu Județean,https://cjmures.ro,yes,200,http://www.cjmures.ro/,no,yes,other,,no,,,
Mehedinți,Consiliu Județean,https://cjmehedinti.ro,yes,200,https://cjmehedinti.ro,yes,yes,e-adm,,no,2027-01-01,,
Neamț,Consiliu Județean,https://cjneamt.ro,yes,,,no,unclear,unknown,,no,,,[Errno 11001] getaddrinfo failed
Neamț,Prefectură,http://nt.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Olt,Prefectură,http://ot.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Harghita,Consiliu Județean,https://judetulharghita.ro,yes,200,https://judetulharghita.ro,yes,yes,wordpress,,no,2026-01-01,2021,
Prahova,Prefectură,http://ph.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Prahova,Consiliu Județean,https://www.cjph.ro,yes,,,no,unclear,unknown,,no,,,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)
Sălaj,Prefectură,http://sj.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Olt,Consiliu Județean,https://cjolt.ro,yes,,,no,unclear,unknown,,no,,,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)
Sălaj,Consiliu Județean,https://www.cjsj.ro,yes,200,https://www.cjsj.ro,yes,yes,joomla,,no,2026-01-01,,
Satu Mare,Prefectură,http://sm.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Sibiu,Prefectură,http://sb.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Suceava,Prefectură,http://sv.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Brăila,Consiliu Județean,https://portal-braila.ro,yes,,,no,unclear,unknown,,no,,,timed out
Suceava,Consiliu Județean,https://cjsuceava.ro,yes,200,https://cjsuceava.ro,yes,yes,joomla,,no,2027-01-01,,
Teleorman,Prefectură,http://tr.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Teleorman,Consiliu Județean,https://cjteleorman.ro,yes,200,https://cjteleorman.ro,yes,yes,other,,no,2027-01-01,,
Timiș,Prefectură,http://tm.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Satu Mare,Consiliu Județean,https://www.cjsm.ro,yes,200,https://www.cjsm.ro,yes,yes,e-adm,,no,2026-01-01,,
Sibiu,Consiliu Județean,https://cjsibiu.ro,yes,200,https://www.cjsibiu.ro/,yes,yes,wordpress,https://www.cjsibiu.ro/feed/,yes,8814-10-07,2026,
Tulcea,Prefectură,http://tl.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Vâlcea,Consiliu Județean,https://cjvalcea.ro,yes,,,no,unclear,unknown,,no,,,[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1016)
Vâlcea,Prefectură,http://vl.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Vaslui,Prefectură,http://vs.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Vrancea,Prefectură,http://vn.prefectura.mai.gov.ro,yes,,,no,unclear,unknown,,no,,,HTTP Error 502: Bad Gateway
Tulcea,Consiliu Județean,https://cjtulcea.ro,yes,200,https://cjtulcea.ro,yes,yes,e-adm,,no,2026-01-01,2026,
Vaslui,Consiliu Județean,https://www.cjvs.eu,yes,200,https://cjvs.eu/,yes,yes,wordpress,https://cjvs.eu/feed/,yes,2026-01-01,2025,
Vrancea,Consiliu Județean,https://cjvrancea.ro,yes,200,https://cjvrancea.ro,yes,yes,wordpress,https://cjvrancea.ro/feed/,yes,2028-01-01,2018,
Timiș,Consiliu Județean,https://www.cjtimis.ro,yes,200,https://www.cjtimis.ro,yes,yes,wordpress,https://www.cjtimis.ro/feed/,yes,2028-01-01,2021,
