judet,localitate,url,rss_url,tier,cms,site_viu,feed_viu,feed_items,newest_real_date,candidat_loader,activ_august,respins_motiv
ALBA,MIRASLAU,https://www.primariamiraslau.ro,https://www.primariamiraslau.ro/feed/,comuna,wordpress,yes,yes,10,2026-09-04,yes,yes,
ALBA,ORAS TEIUS,http://primariateius.ro,https://primariateius.ro/?feed=rss2,oras,wordpress,yes,yes,10,2026-08-07,yes,yes,
ALBA,MUNICIPIUL ALBA IULIA,https://apulum.ro,,municipiu,other,yes,no,,,no,no,feed nu raspunde
ALBA,ORAS OCNA MURES,https://www.primariaocnamures.ro,https://www.primariaocnamures.ro/feed/,oras,wordpress,yes,yes,10,2026-09-03,yes,yes,
ALBA,INTREGALDE,http://primariaintregalde.ro,,comuna,other,yes,no,,,no,no,feed nu raspunde
ALBA,MUNICIPIUL AIUD,http://www.aiud.ro,,municipiu,other,yes,no,,,no,no,feed nu raspunde
ALBA,BISTRA,https://bistra.ro,https://bistra.ro/feed/,comuna,wordpress,yes,yes,6,2024-03-21,no,no,
ALBA,CALNIC,https://www.primaria-calnic.ro,https://primaria-calnic.ro/feed/,comuna,wordpress,yes,yes,4,2023-09-19,no,no,
ALBA,JIDVEI,https://primariajidvei.ro,https://primariajidvei.ro/feed/,comuna,wordpress,yes,yes,10,2026-07-28,yes,no,
ALBA,PONOR,https://www.comunaponor.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ALBA,GARDA DE SUS,https://comunagardadesus.ro,https://comunagardadesus.ro/feed/,comuna,wordpress,yes,yes,5,2021-03-12,no,no,
ALBA,RAMET,https://www.comunarimet.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ALBA,NOSLAC,https://www.primarianoslac.ro,https://www.primarianoslac.ro/feed/,comuna,wordpress,yes,yes,15,2026-08-03,yes,yes,
ALBA,MUNICIPIUL SEBES,https://www.primariasebes.ro,https://www.primariasebes.ro/feed/,municipiu,wordpress,yes,yes,10,2026-09-02,yes,yes,
ALBA,PIANU,https://www.primariapianu.ro,,comuna,other,yes,no,,,no,no,feed nu raspunde
ALBA,BUCERDEA GRANOASA,https://bucerdea-granoasa.ro/site,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ALBA,DAIA ROMANA,https://primariadaiaromana.ro,https://primariadaiaromana.ro/feed/,comuna,wordpress,yes,yes,0,,no,no,
ALBA,ROSIA MONTANA,https://primariarosiamontana.ro,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ALBA,METES,https://www.primariametes.ro,https://www.primariametes.ro/feed/,comuna,wordpress,yes,yes,10,2026-08-13,yes,yes,
ALBA,SASCIORI,http://www.comunasasciori.ro,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ALBA,LUPSA,https://www.primarialupsa.ro,https://primarialupsa.ro/feed/,comuna,wordpress,yes,yes,10,2026-06-22,yes,no,
ALBA,CETATEA DE BALTA,https://cetateadebalta.ro,https://cetateadebalta.ro/feed/,comuna,wordpress,yes,yes,20,2026-08-06,yes,yes,
ALBA,GALDA DE JOS,https://galda.ro,https://galda.ro/feed/,comuna,wordpress,yes,yes,10,2026-08-14,yes,yes,
ALBA,MIHALT,https://www.primariamihalt.ro,https://www.primariamihalt.ro/feed/,comuna,wordpress,yes,yes,1,2018-02-20,no,no,
ALBA,AVRAM IANCU,http://www.primariaavramiancu.ro,https://primariaavramiancu.ro/feed/,comuna,wordpress,yes,yes,9,2024-07-11,no,no,
ALBA,BLANDIANA,https://comuna-blandiana.ro,https://comuna-blandiana.ro/feed/,comuna,wordpress,yes,yes,0,,no,no,
ALBA,LIVEZILE,http://primarialivezile.ro,https://primarialivezile.ro/feed/,comuna,wordpress,yes,yes,10,2024-05-24,no,no,
ALBA,ORAS ZLATNA,http://www.primaria-zlatna.ro/nou,https://primaria-zlatna.ro/feed/,oras,wordpress,yes,yes,10,2026-09-04,yes,yes,
ALBA,IGHIU,https://www.comunaighiu.ro,,comuna,wordpress,yes,no,,,no,no,feed nu raspunde
ALBA,VINTU DE JOS,https://vintudejos.ro,https://vintudejos.ro/feed/,comuna,wordpress,yes,yes,1,2025-01-03,no,no,
ALBA,ROSIA DE SECAS,https://www.rosiadesecas.ro,https://rosiadesecas.ro/feed/,comuna,wordpress,yes,yes,0,,no,no,
ALBA,CENADE,http://www.primariacenade.ro,https://comunacenade.ro/feed/,comuna,wordpress,yes,yes,10,2026-09-01,yes,yes,
ALBA,POIANA VADULUI,https://poianavadului.ro,https://poianavadului.ro/feed/,comuna,wordpress,yes,yes,10,2026-04-29,yes,no,
ALBA,SALCIUA,https://comunasalciua.ro,https://comunasalciua.ro/feed/,comuna,wordpress,yes,yes,10,2026-08-26,yes,yes,
ALBA,SANTIMBRU,https://N/A,,comuna,unknown,no,no,,,no,no,site mort
ALBA,POSAGA,https://comunaposaga.ro,https://comunaposaga.ro/feed/,comuna,wordpress,yes,yes,5,2022-11-11,no,no,
ALBA,UNIREA,https://www.primariaunireaalba.ro,,comuna,joomla,yes,no,,,no,no,feed nu raspunde
ARAD,MUNICIPIUL ARAD,https://www.primariaarad.ro,,municipiu,wordpress,yes,no,,,no,no,feed nu raspunde
ALBA,SIBOT,https://primaria-sibot.ro,https://primaria-sibot.ro/feed/,comuna,wordpress,yes,yes,10,2025-04-02,no,no,
ALBA,OCOLIS,https://ocolis-ab.ro,https://ocolis-ab.ro/feed/,comuna,wordpress,yes,yes,10,2026-07-14,yes,no,
ALBA,VIDRA,https://primariavidra-ab.ro,https://primariavidra-ab.ro/feed/,comuna,wordpress,yes,yes,2,2019-08-16,no,no,
ALBA,SPRING,https://www.comunaspring.ro,https://comunaspring.ro/feed/,comuna,wordpress,yes,yes,2,2024-10-25,no,no,
ALBA,SOHODOL,https://primariasohodol.ro,https://primariasohodol.ro/feed/,comuna,wordpress,yes,yes,3,2020-06-15,no,no,
ALBA,CRACIUNELU DE JOS,https://www.craciuneludejos.ro,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARAD,APATEU,http://www.apateu.ro,https://www.apateu.ro/feed/,comuna,wordpress,yes,yes,10,2026-07-07,yes,no,
ARAD,ORAS PANCOTA,https://primariapancota.ro,https://primariapancota.ro/feed/,oras,wordpress,yes,yes,10,2026-08-21,yes,yes,
ARAD,BARSA,http://www.comunabirsa.ro,https://www.comunabirsa.ro/feed/,comuna,wordpress,yes,yes,2,2026-07-14,yes,no,
ARAD,ORAS NADLAC,http://primaria-nadlac.ro,https://primaria-nadlac.ro/feed/,oras,wordpress,yes,yes,10,2026-09-03,yes,yes,
ALBA,SONA,https://comunasona.ro,https://comunasona.ro/feed/,comuna,wordpress,yes,yes,10,2026-04-28,yes,no,
ARAD,ORAS INEU,http://primariaineu.ro,https://primariaineu.ro/feed/,oras,wordpress,yes,yes,20,2026-09-04,yes,yes,
ARAD,ORAS CURTICI,https://primariacurtici.ro,https://primariacurtici.ro/feed/,oras,wordpress,yes,yes,10,2026-08-31,yes,yes,
ALBA,RAMETEA,https://www.primariarimetea.ro,https://primariarimetea.ro/feed/,comuna,wordpress,yes,yes,20,2026-07-01,yes,no,
ALBA,SUGAG,https://primariasugag.ro,https://primariasugag.ro/feed/,comuna,wordpress,yes,yes,20,2026-08-06,yes,yes,
ALBA,VADU MOTILOR,https://vadumotilor.ro,https://vadu-motilor.ro/feed/,comuna,wordpress,yes,yes,10,2026-09-01,yes,yes,
ARAD,CERMEI,http://comuna-cermei.ro,https://comuna-cermei.ro/feed/,comuna,wordpress,yes,yes,10,2026-09-03,yes,yes,
ARAD,BATA,https://www.primariabata.ro,https://www.primariabata.ro/feed/,comuna,wordpress,yes,yes,1,2020-09-17,no,no,
ARAD,ORAS PECICA,https://www.pecica.ro,https://www.pecica.ro/feed/,oras,wordpress,yes,yes,10,2026-09-04,yes,yes,
ARAD,CRAIVA,https://primariacraiva.ro/wp/contact,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ALBA,STREMT,https://www.primariastremt.ro,https://primariastremt.ro/feed/,comuna,wordpress,yes,yes,10,2026-08-19,yes,yes,
ARAD,CONOP,https://www.primariaconop.ro,,comuna,other,yes,no,,,no,no,feed nu raspunde
ALBA,VALEA LUNGA,https://comunavalealunga.ro,https://comunavalealunga.ro/feed/,comuna,wordpress,yes,yes,20,2026-07-27,yes,no,
ARAD,CARAND,http://comuna-carand.ro,https://comuna-carand.ro/feed/,comuna,wordpress,yes,yes,10,2026-08-10,yes,yes,
ARAD,FANTINELE,https://primariafantanele-arad.ro,https://primariafantanele-arad.ro/feed/,comuna,wordpress,yes,yes,10,2021-07-03,no,no,
ARAD,GURAHONT,https://www.gurahont.ro,,comuna,unknown,no,no,,,no,no,site mort
ARAD,GHIOROC,https://www.primariaghioroc.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,ORAS SEBIS,http://primariasebis.ro,https://primariasebis.ro/feed/,oras,wordpress,yes,yes,10,2026-06-03,yes,no,
ARAD,BARZAVA,http://www.comunabarzava.ro,https://comunabarzava.ro/feed/,comuna,wordpress,yes,yes,1,2021-09-24,no,no,
ARAD,HALMAGIU,https://www.primariahalmagiu.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,FRUMUSENI,https://www.frumuseni.ro,,comuna,other,yes,no,,,no,no,feed nu raspunde
ARAD,ORAS SANTANA,https://www.primariasantana.ro/ro,,oras,e-adm,yes,no,,,no,no,feed nu raspunde
ARAD,GRANICERI,http://www.graniceri.ro,,comuna,wordpress,yes,no,,,no,no,feed nu raspunde
ARAD,BIRCHIS,https://N/A,,comuna,unknown,no,no,,,no,no,site mort
ARAD,BRAZII,https://N/A,,comuna,unknown,no,no,,,no,no,site mort
ARAD,IRATOSU,https://iratosu.ro,https://iratosu.ro/feed/,comuna,wordpress,yes,yes,5,2026-08-26,yes,yes,
ALBA,MOGOS,https://comunamogos.ro,,comuna,wordpress,yes,no,,,no,no,feed nu raspunde
ARAD,PAULIS,https://www.paulis.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,IGNESTI,https://primariaignesti.ro,https://primariaignesti.ro/feed/,comuna,wordpress,yes,yes,6,2026-09-02,yes,yes,
ARAD,PETRIS,https://www.comunapetris.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,PLESCUTA,http://www.plescuta.ro,,comuna,unknown,no,no,,,no,no,site mort
ARAD,HALMAGEL,https://halmagel.ro,https://halmagel.ro/feed/,comuna,wordpress,yes,yes,2,2019-06-19,no,no,
ARAD,DEZNA,http://www.comunadezna.ro,https://www.comunadezna.ro/feed/,comuna,wordpress,yes,yes,1,2015-04-20,no,no,
ALBA,SALISTEA,https://comuna-salistea.ro,https://comuna-salistea.ro/feed/,comuna,wordpress,yes,yes,8,2026-06-11,yes,no,
ARAD,DIECI,http://dieci-arad.blogspot.com,https://dieci-arad.blogspot.com/feeds/posts/default,comuna,e-adm,yes,yes,8,2024-11-01,no,no,
ALBA,SANCEL,https://www.primariasincel.ro,,comuna,other,yes,no,,,no,no,feed nu raspunde
ARAD,ORAS LIPOVA,https://www.primarialipova.ro,,oras,other,yes,no,,,no,no,feed nu raspunde
ARAD,MACEA,https://macea.ro,,comuna,wordpress,yes,no,,,no,no,feed nu raspunde
ARAD,FELNAC,http://primaria-felnac.ro,https://primaria-felnac.ro/feed/,comuna,wordpress,yes,yes,10,2026-08-25,yes,yes,
ARAD,PEREGU MARE,http://primariaperegumare.ro,https://primariaperegumare.ro/ro/feed/,comuna,wordpress,yes,yes,0,,no,no,
ARAD,SELEUS,https://comuna-seleus.ro,https://comuna-seleus.ro/feed/,comuna,wordpress,yes,yes,10,2026-08-31,yes,yes,
ARAD,OLARI,http://www.comunaolari.ro,,comuna,other,yes,no,,,no,no,feed nu raspunde
ARAD,SECUSIGIU,https://www.primariasecusigiuar.ro,,comuna,other,yes,no,,,no,no,feed nu raspunde
ARAD,ORAS CHISINEU-CRIS,https://primariachisineucris.ro,,oras,wordpress,yes,no,,,no,no,feed nu raspunde
ARAD,SAGU,https://primariasagu.ro,,comuna,wordpress,yes,no,,,no,no,feed nu raspunde
ARAD,PILU,http://www.comunapilu.ro,https://comunapilu.ro/feed/,comuna,wordpress,yes,yes,10,2026-08-26,yes,yes,
ARAD,LIVADA,https://livada-arad.ro,,comuna,wordpress,yes,no,,,no,no,feed nu raspunde
ARAD,SEMLAC,https://www.semlac.ro,https://www.semlac.ro/feed/,comuna,wordpress,yes,yes,10,2026-01-15,yes,no,
ARAD,SEITIN,http://primariaseitin.ro,https://primariaseitin.ro/feed,comuna,wordpress,yes,yes,0,,no,no,
ARAD,SAVARSIN,https://primariasavarsin.ro,https://primariasavarsin.ro/feed/,comuna,wordpress,yes,yes,10,2020-08-26,no,no,
ALBA,ORAS CAMPENI,http://www.primariacimpeni.ro,,oras,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,TARNOVA,https://N/A,,comuna,unknown,no,no,,,no,no,site mort
ALBA,DOSTAT,https://comuna-dostat.ro,https://comuna-dostat.ro/feed/,comuna,wordpress,yes,yes,1,2026-07-06,yes,no,
ARAD,SEPREUS,https://sepreus.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,SICULA,https://sicula.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,SILINDIA,https://www.comunasilindia.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,SIMAND,https://simand.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,SINTEA MARE,https://sintea-mare.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,CHISINDIA,http://comunachisindia.ro,https://comunachisindia.ro/?feed=comments-rss2,comuna,wordpress,yes,yes,10,2022-04-30,no,no,
ARAD,SIRIA,https://primariasiria.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,SISTAROVAT,https://www.primariasistarovat.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,SOCODOR,https://socodor.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,SOFRONEA,https://www.primaria-sofronea.ro,,comuna,unknown,no,no,,,no,no,site mort
ARAD,TAUT,https://www.primariataut.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,COVASINT,https://www.primariacovasint.ro,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARAD,USUSAU,http://www.comunaususau.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,VARADIA DE MURES,https://varadia-de-mures.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,VARFURILE,http://www.primariavirfurile.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,VINGA,https://primaria-vinga.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,VLADIMIRESCU,https://www.primariavladimirescu.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,ZABRANI,https://www.primaria-zabrani.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARGES,ANINOASA,https://comuna-aninoasa.ro,,comuna,unknown,no,no,,,no,no,site mort
ARGES,BALILESTI,https://www.primariabalilesti.ro,,comuna,other,yes,no,,,no,no,feed nu raspunde
ARGES,BABANA,https://www.primariababana.ro,https://www.primariababana.ro/?format=feed&type=rss,comuna,joomla,yes,yes,0,,no,no,
ARGES,ORAS COSTESTI,https://primariacostestiag.ro,https://primariacostestiag.ro/feed,oras,wordpress,yes,yes,10,2026-08-31,yes,yes,
ARGES,MUNICIPIUL CURTEA DE ARGES,http://www.primariacurteadearges.ro/portal/arges/cda/portalcda.nsf,,municipiu,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,ZERIND,https://primariazerind.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARAD,ZIMANDU NOU,https://zimandunou.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARGES,MUNICIPIUL PITESTI,http://www.primariapitesti.ro,,municipiu,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,BOTESTI,http://www.comunabotestiarges.ro/home,,comuna,unknown,no,no,,,no,no,site mort
ARAD,ZARAND,https://primariazarand.ro,https://primariazarand.ro/feed/,comuna,wordpress,yes,yes,10,2026-07-28,yes,no,
ARGES,BOGATI,https://comunabogati.ro,,comuna,unknown,no,no,,,no,no,site mort
ALBA,RADESTI,http://www.primariaradesti.ro,,comuna,other,yes,no,,,no,no,feed nu raspunde
ARGES,BRADU,http://www.comunabradu.ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARGES,MUNICIPIUL CAMPULUNG,http://www.primariacampulung.ro,,municipiu,wordpress,yes,no,,,no,no,feed nu raspunde
ALBA,SCARISOARA,https://scarisoara.ro/primaria,https://scarisoara.ro/comments/feed/,comuna,wordpress,yes,yes,0,,no,no,
ARGES,BUGHEA DE JOS,https://www.primariabugheadejos.ro,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,CALINESTI,http://www.primariacalinesti.ro,,comuna,unknown,no,no,,,no,no,site mort
ARGES,ORAS TOPOLOVENI,http://www.topoloveni.ro,,oras,unknown,yes,no,,,no,no,feed nu raspunde
ARGES,CATEASCA,http://primariacateasca.ro,,comuna,unknown,no,no,,,no,no,site mort
ARGES,AREFU,https://primaria-arefu.ro,https://primaria-arefu.ro/feed/,comuna,wordpress,yes,yes,5,2023-09-21,no,no,
ARGES,BEREVOESTI,https://primariaberevoesti.weebly.com,,comuna,other,yes,no,,,no,no,feed nu raspunde
ARGES,ORAS STEFANESTI,https://www.stefanesti-arges.ro,https://stefanesti-arges.ro/feed/,oras,wordpress,yes,yes,10,2026-07-21,yes,no,
ARGES,CIOMAGESTI,http://primaria-ciomagesti.ro,,comuna,unknown,no,no,,,no,no,site mort
ARGES,BOTENI,https://comunaboteni.ro,https://comunaboteni.ro/feed/,comuna,wordpress,yes,yes,10,2026-06-03,yes,no,
ARGES,BRADULET,https://www.cjarges.ro/en/web/bradulet,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,ALBESTII DE MUSCEL,https://www.cjarges.ro/en/web/albestii-de-muscel,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,BELETI-NEGRESTI,https://www.cjarges.ro/en/web/beleti-negresti,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,BARLA,https://www.cjarges.ro/en/web/barla,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,ALBOTA,https://www.cjarges.ro/en/web/albota,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,BAICULESTI,https://www.cjarges.ro/en/web/baiculesti,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,CETATENI,http://www.primariecetateni.ro/index.php,,comuna,other,yes,no,,,no,no,feed nu raspunde
ARGES,CEPARI,https://primariacepari.ro/acasa,,comuna,other,yes,no,,,no,no,feed nu raspunde
ARGES,BUGHEA DE SUS,https://www.cjarges.ro/en/web/bughea-de-sus,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,BUZOESTI,https://N/A,,comuna,unknown,no,no,,,no,no,site mort
ARGES,CICANESTI,https://www.cjarges.ro/en/web/cicanesti,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,CIOFRANGENI,https://www.cjarges.ro/en/web/ciofrangeni,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,ALBESTII DE ARGES,https://www.albestiidearges.ro,https://albestiidearges.ro/feed/,comuna,wordpress,yes,yes,10,2025-04-07,no,no,
ARGES,CALDARARU,https://www.cjarges.ro/en/web/caldararu,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,BASCOV,http://www.primariabascov.ro/portal/arges/bascov/beta/portal.nsf/Index/$First?OpenDocument,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARGES,DOMNESTI,http://primariadomnestiag.ro,,comuna,joomla,yes,no,,,no,no,feed nu raspunde
ARGES,CUCA,http://www.comunacuca.ro,https://www.comunacuca.ro/feed/,comuna,wordpress,yes,yes,10,2022-10-31,no,no,
ARGES,CORBENI,https://www.cjarges.ro/en/web/corbeni,,comuna,other,yes,no,,,no,no,feed nu raspunde
ARGES,GODENI,http://www.primariagodeni.ro,,comuna,other,yes,no,,,no,no,feed nu raspunde
ARGES,DAMBOVICIOARA,https://primaria-dambovicioara.ro,,comuna,wordpress,yes,no,,,no,no,feed nu raspunde
ARAD,BUTENI,http://www.buteni.ro,,comuna,unknown,no,no,,,no,no,site mort
ARGES,CORBI,http://www.primariacorbi.com,https://www.primariacorbi.com/?feed=rss2,comuna,wordpress,yes,yes,10,2026-08-11,yes,yes,
ARGES,HARSESTI,https://www.comunaharsesti.ro,https://www.comunaharsesti.ro/feed/,comuna,wordpress,yes,yes,10,2026-01-26,yes,no,
ARGES,LEORDENI,https://www.cjarges.ro/en/web/leordeni,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,DRAGANU,https://www.cjarges.ro/en/web/draganu,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,DARMANESTI,https://www.cjarges.ro/en/web/darmanesti,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,MORARESTI,http://primariamoraresti.ro,,comuna,unknown,no,no,,,no,no,site mort
ARGES,LUNCA CORBULUI,https://www.cjarges.ro/en/web/lunca-corbului,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARAD,BOCSIG,http://www.bocsig.ro,https://bocsig.ro/feed/,comuna,wordpress,yes,yes,10,2026-09-04,yes,yes,
ARGES,MERISANI,https://www.cjarges.ro/en/web/merisani,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARAD,ALMAS,https://comuna-almas.ro,,comuna,wordpress,yes,no,,,no,no,feed nu raspunde
ARGES,HARTIESTI,https://www.cjarges.ro/en/web/hartiesti,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,COTMEANA,https://www.cjarges.ro/en/web/cotmeana,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,DOBRESTI,https://www.cjarges.ro/en/web/dobresti,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,MARACINENI,https://www.comunamaracineni.ro,https://www.comunamaracineni.ro/feed/,comuna,wordpress,yes,yes,12,2026-08-12,yes,yes,
ARGES,MICESTI,https://www.comunamicesti.ro,https://comunamicesti.ro/feed,comuna,wordpress,yes,yes,10,2026-09-03,yes,yes,
ARGES,OARJA,http://oarjaprimarie.ro,https://oarjaprimarie.ro/feed/,comuna,wordpress,yes,yes,9,2026-06-10,yes,no,
ARGES,MIOARELE,https://www.mioarele.ro,https://mioarele.ro/index.php/feed/,comuna,wordpress,yes,no,,,no,no,feed nu raspunde
ARGES,MUSATESTI,https://primariamusatesti.ro/ro,,comuna,unknown,yes,no,,,no,no,feed nu raspunde
ARGES,ORAS MIOVENI,https://emioveni.ro,https://emioveni.ro/?format=feed&type=rss,oras,joomla,yes,yes,0,,no,no,
ARGES,PRIBOIENI,http://www.priboieni.ro/ag,https://www.priboieni.ro/feed/,comuna,wordpress,yes,yes,1,2026-06-25,yes,no,
ARGES,POIENARII DE MUSCEL,http://www.poienariidemuscel.ro,https://poienariidemuscel.ro/feed/,comuna,wordpress,yes,yes,10,2026-07-02,yes,no,
ARGES,MIROSI,https://www.cjarges.ro/en/web/mirosi,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,PIETROSANI,https://www.primariacomuneipietrosani.ro,https://www.primariacomuneipietrosani.ro/feed/,comuna,wordpress,yes,yes,5,2026-06-16,yes,no,
ARGES,POPESTI,https://www.cjarges.ro/en/web/popesti,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,MALURENI,https://www.cjarges.ro/en/web/malureni,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,SCHITU GOLESTI,http://www.schitugolesti.ro,,comuna,other,yes,no,,,no,no,feed nu raspunde
ARGES,MOZACENI,https://www.cjarges.ro/en/web/mozaceni,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,NUCSOARA,https://www.cjarges.ro/en/web/nucsoara/acasa,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ALBA,OHABA,https://www.primariaohaba.ro,,comuna,unknown,no,no,,,no,no,site mort
ARGES,SALATRUCU,https://primariasalatrucu.ro,,comuna,wordpress,yes,no,,,no,no,feed nu raspunde
ARGES,RECEA,https://www.cjarges.ro/en/web/recea,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,RUCAR,https://www.cjarges.ro/en/web/rucar,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,DAVIDESTI,https://www.cjarges.ro/en/web/davidesti,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
ARGES,STEFAN CEL MARE,https://www.comunastefancelmare.ro,https://www.comunastefancelmare.ro/feed,comuna,wordpress,yes,yes,5,2026-08-28,yes,yes,
ARGES,RACA,https://www.cjarges.ro/en/web/raca,,comuna,e-adm,yes,no,,,no,no,feed nu raspunde
